year,region,bds_score,fiscal_autonomy_ratio,gdp_2023,cpi,manufacturing_index
2005,서울특별시,7.371027667128116,0.961,508134,74.41258333333333,82.7
2005,인천광역시,4.368241939750367,0.7,111713,74.41258333333333,82.7
2005,대전광역시,4.2000942985288825,0.75,50363,74.41258333333333,82.7
2005,제주특별자치도,2.886482939632546,0.3929999999999999,24073,74.41258333333333,82.7
2005,대구광역시,4.258907875489504,0.7390000000000001,67890,74.41258333333333,82.7
2005,전라북도,2.60888237090618,0.251,58845,74.41258333333333,82.7
2006,경기도,7.105600539811066,0.752,578124,76.08116666666666,89.29166666666667
2006,충청남도,3.356050616400794,0.353,134256,76.08116666666666,89.29166666666667
2006,경상남도,3.417090801949516,0.3879999999999999,123721,76.08116666666666,89.29166666666667
2006,광주광역시,3.6413212316250743,0.575,48615,76.08116666666666,89.29166666666667
2006,부산광역시,4.365810531198,0.7020000000000001,103284,76.08116666666666,89.29166666666667
2006,충청북도,2.944939156896773,0.313,83254,76.08116666666666,89.29166666666667
2006,울산광역시,4.07475058426916,0.657,77569,76.08116666666666,89.29166666666667
2006,전라남도,2.5816265109168652,0.2019999999999999,85319,76.08116666666666,89.29166666666667
2006,경상북도,3.021913341866289,0.278,119278,76.08116666666666,89.29166666666667
2006,강원도,2.6450636534916496,0.267,56534,76.08116666666666,89.29166666666667
2006,서울특별시,7.371027667128116,0.943,508134,76.08116666666666,89.29166666666667
2006,인천광역시,4.3777125423622865,0.6920000000000001,111713,76.08116666666666,89.29166666666667
2006,대전광역시,4.1669803962686895,0.728,50363,76.08116666666666,89.29166666666667
2006,제주특별자치도,2.7088394062078267,0.3379999999999999,24073,76.08116666666666,89.29166666666667
2006,대구광역시,4.191033009645305,0.7070000000000001,67890,76.08116666666666,89.29166666666667
2006,전라북도,2.5631100054073332,0.239,58845,76.08116666666666,89.29166666666667
2007,경기도,7.1960227272727275,0.7490000000000001,578124,78.0095,96.93333333333334
2007,충청남도,3.443194831834483,0.369,134256,78.0095,96.93333333333334
2007,경상남도,3.4642763466679556,0.391,123721,78.0095,96.93333333333334
2007,광주광역시,3.5938241837168423,0.542,48615,78.0095,96.93333333333334
2007,부산광역시,4.198787313187939,0.629,103284,78.0095,96.93333333333334
2007,충청북도,3.0391952297712663,0.3329999999999999,83254,78.0095,96.93333333333334
2007,울산광역시,4.2548617286072785,0.684,77569,78.0095,96.93333333333334
2007,전라남도,2.5816265109168652,0.201,85319,78.0095,96.93333333333334
2007,경상북도,3.078003085456032,0.289,119278,78.0095,96.93333333333334
2007,강원도,2.716958589695796,0.283,56534,78.0095,96.93333333333334
2007,서울특별시,7.371027667128116,0.905,508134,78.0095,96.93333333333334
2007,인천광역시,4.489455925076063,0.698,111713,78.0095,96.93333333333334
2007,대전광역시,4.2389424254675605,0.721,50363,78.0095,96.93333333333334
2007,제주특별자치도,2.473721590909091,0.264,24073,78.0095,96.93333333333334
2007,대구광역시,4.042652059455144,0.639,67890,78.0095,96.93333333333334
2007,전라북도,2.559017332729133,0.235,58845,78.0095,96.93333333333334
2008,경기도,7.301569506726457,0.763,578124,81.65558333333333,103.06666666666666
2008,충청남도,3.459458930217415,0.3779999999999999,134256,81.65558333333333,103.06666666666666
2008,경상남도,3.4622061774873596,0.3939999999999999,123721,81.65558333333333,103.06666666666666
2008,광주광역시,3.548805966228053,0.526,48615,81.65558333333333,103.06666666666666
2008,부산광역시,4.140036973467868,0.605,103284,81.65558333333333,103.06666666666666
2008,충청북도,3.0487710892630453,0.342,83254,81.65558333333333,103.06666666666666
2008,울산광역시,4.352069441951483,0.6990000000000001,77569,81.65558333333333,103.06666666666666
2008,전라남도,2.5816265109168652,0.214,85319,81.65558333333333,103.06666666666666
2008,경상북도,3.038298302197437,0.287,119278,81.65558333333333,103.06666666666666
2008,강원도,2.6798760207326215,0.282,56534,81.65558333333333,103.06666666666666
2008,서울특별시,7.371027667128116,0.883,508134,81.65558333333333,103.06666666666666
2008,인천광역시,4.578053857879434,0.71,111713,81.65558333333333,103.06666666666666
2008,대전광역시,4.073965866152436,0.664,50363,81.65558333333333,103.06666666666666
2008,제주특별자치도,2.4331091180866964,0.263,24073,81.65558333333333,103.06666666666666
2008,대구광역시,3.911021148325914,0.595,67890,81.65558333333333,103.06666666666666
2008,전라북도,2.4831217456928516,0.226,58845,81.65558333333333,103.06666666666666
2009,경기도,7.195592286501378,0.759,578124,83.90641666666666,99.24166666666667
2009,충청남도,3.4388904241209852,0.366,134256,83.90641666666666,99.24166666666667
2009,경상남도,3.4782656717368257,0.3939999999999999,123721,83.90641666666666,99.24166666666667
2009,광주광역시,3.3780657470777236,0.483,48615,83.90641666666666,99.24166666666667
2009,부산광역시,4.018432629992347,0.583,103284,83.90641666666666,99.24166666666667
2009,충청북도,3.0490953675123134,0.3329999999999999,83254,83.90641666666666,99.24166666666667
2009,울산광역시,4.202886005466782,0.677,77569,83.90641666666666,99.24166666666667
2009,전라남도,2.5816265109168652,0.1939999999999999,85319,83.90641666666666,99.24166666666667
2009,경상북도,3.05131575763234,0.2769999999999999,119278,83.90641666666666,99.24166666666667
