id,stat_code,item_code,item_name,unit,cycle_type,created_at
344,111Y004,,현금통화,,M,2025-08-25 01:12:59
345,111Y004,,현금통화,,Q,2025-08-25 01:12:59
346,111Y004,,요구불예금,,A,2025-08-25 01:12:59
347,111Y004,,요구불예금,,M,2025-08-25 01:12:59
348,111Y004,,요구불예금,,Q,2025-08-25 01:12:59
349,111Y004,,수시입출식저축성,,A,2025-08-25 01:12:59
350,111Y004,,수시입출식저축성,,M,2025-08-25 01:12:59
351,111Y004,,수시입출식저축성,,Q,2025-08-25 01:12:59
352,111Y004,,정기예적금,,A,2025-08-25 01:12:59
353,111Y004,,정기예적금,,M,2025-08-25 01:12:59
354,111Y004,,정기예적금,,Q,2025-08-25 01:12:59
355,111Y004,,양도성예금증서,,A,2025-08-25 01:12:59
356,111Y004,,양도성예금증서,,M,2025-08-25 01:12:59
357,111Y004,,양도성예금증서,,Q,2025-08-25 01:12:59
358,111Y004,,수익증권,,A,2025-08-25 01:12:59
359,111Y004,,수익증권,,M,2025-08-25 01:12:59
360,111Y004,,수익증권,,Q,2025-08-25 01:12:59
361,111Y004,,환매조건부채권,,A,2025-08-25 01:12:59
362,111Y004,,환매조건부채권,,M,2025-08-25 01:12:59
363,111Y004,,환매조건부채권,,Q,2025-08-25 01:12:59
364,111Y004,,금융채 1),,A,2025-08-25 01:12:59
365,111Y004,,금융채 1),,M,2025-08-25 01:12:59
366,111Y004,,금융채 1),,Q,2025-08-25 01:12:59
367,111Y004,,금전신탁 등 2),,A,2025-08-25 01:12:59
368,111Y004,,금전신탁 등 2),,M,2025-08-25 01:12:59
369,111Y004,,금전신탁 등 2),,Q,2025-08-25 01:12:59
370,111Y004,,보험계약준비금,,A,2025-08-25 01:12:59
371,111Y004,,보험계약준비금,,M,2025-08-25 01:12:59
372,111Y004,,보험계약준비금,,Q,2025-08-25 01:12:59
373,111Y004,,기타 3),,A,2025-08-25 01:12:59
374,111Y004,,기타 3),,M,2025-08-25 01:12:59
375,111Y004,,기타 3),,Q,2025-08-25 01:12:59
376,111Y001,,"Lf(금융기관유동성) : 상품별(말잔, 계절조정계열)",,A,2025-08-25 01:12:59
377,111Y001,,"Lf(금융기관유동성) : 상품별(말잔, 계절조정계열)",,M,2025-08-25 01:12:59
378,111Y001,,M2,,A,2025-08-25 01:12:59
379,111Y001,,M2,,M,2025-08-25 01:12:59
380,111Y001,,2년이상 장기금융상품 등 1),,A,2025-08-25 01:12:59
381,111Y001,,2년이상 장기금융상품 등 1),,M,2025-08-25 01:12:59
382,111Y001,,생명보험계약 준비금 등 2),,A,2025-08-25 01:12:59
383,111Y001,,생명보험계약 준비금 등 2),,M,2025-08-25 01:12:59
384,111Y002,,"Lf(금융기관유동성) : 상품별(말잔,원계열)",,A,2025-08-25 01:13:00
385,111Y002,,"Lf(금융기관유동성) : 상품별(말잔,원계열)",,M,2025-08-25 01:13:00
386,111Y002,,"Lf(금융기관유동성) : 상품별(말잔,원계열)",,Q,2025-08-25 01:13:00
