region,year,bds_value,gdp_value,data_source,scenario,base_rate,exchange_rate,cpi,gdp_growth,koribor,gov_bond_3y,corp_bond_3y,bds_score,economic_stress,financial_stability,growth_potential
제주도,2025,0.5447788247102302,5907.371,KOSIS_GDP,pessimistic,3.5,1500.0,120.0,0.0,3.5,3.5,4.0,5.447788247102302,67.5,83.33333333333333,65.0
서울특별시,1997,4.971010919855754,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,49.71010919855754,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,1998,5.469132864045767,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,54.69132864045767,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,1999,4.4209178468555965,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,44.20917846855596,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2000,4.982326950194623,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,49.82326950194623,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2001,7.1805331656521805,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,71.8053316565218,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2002,5.235621189672069,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,52.356211896720694,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2003,4.8358420792001775,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,48.35842079200177,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2004,5.542620724410993,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,55.42620724410993,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2005,5.587042520200573,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,55.87042520200573,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2006,6.114533103950222,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,61.145331039502224,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2007,6.3157861690603685,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,63.15786169060368,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2008,4.6797248549696056,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,46.79724854969606,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2009,4.65780658361748,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,46.578065836174794,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2010,3.228196555176862,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,32.28196555176862,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2011,4.175275314211546,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,41.75275314211546,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2012,5.850808786187071,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,58.508087861870706,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2013,5.0454604268255245,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,50.454604268255245,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2014,5.188422568266193,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,51.884225682661935,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2015,2.452375258615882,416886.308,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,24.52375258615882,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2016,2.944593811391118,431299.923,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,29.445938113911183,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2017,2.0161420722777295,442507.582,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,20.161420722777294,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2018,2.2383961685108593,460496.442,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,22.383961685108595,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2019,2.393382090079289,475206.456,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,23.933820900792888,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2020,2.7060305107277483,472863.218,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,27.060305107277483,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2021,2.3555932318626795,491388.714,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,23.555932318626795,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2022,3.312942948393841,504359.508,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,33.12942948393841,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2023,2.747803303452377,508134.359,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,27.478033034523772,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2024,2.5565785393331693,512952.255,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,25.565785393331694,72.08333333333333,81.66666666666667,64.16666666666667
서울특별시,2025,1.8949989171086357,126449.938,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,18.949989171086358,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,1997,6.263567607030662,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,62.63567607030662,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,1998,8.15532706212845,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,81.5532706212845,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,1999,5.298958929198152,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,52.98958929198152,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2000,3.369866882629687,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,33.698668826296874,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2001,5.620552594121504,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,56.20552594121504,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2002,4.8577249921600165,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,48.57724992160016,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2003,4.153294676867402,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,41.53294676867402,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2004,6.269745100647368,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,62.697451006473685,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2005,4.977755635057221,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,49.77755635057221,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2006,4.562722011232596,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,45.62722011232596,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2007,5.697228552433701,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,56.97228552433701,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2008,6.224758101631204,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,62.24758101631204,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2009,3.1124633232824443,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,31.124633232824443,72.08333333333333,81.66666666666667,64.16666666666667
