id,stat_code,item_code,item_name,unit,cycle_type,raw_item_name,created_at
186,101Y002,,매출어음,,Q,매출어음,2025-08-25 01:14:44
187,101Y002,,CMA,,A,CMA,2025-08-25 01:14:44
188,101Y002,,CMA,,M,CMA,2025-08-25 01:14:44
189,101Y002,,CMA,,Q,CMA,2025-08-25 01:14:44
190,101Y002,,수익증권,,A,수익증권,2025-08-25 01:14:44
191,101Y002,,수익증권,,M,수익증권,2025-08-25 01:14:44
192,101Y002,,수익증권,,Q,수익증권,2025-08-25 01:14:44
193,101Y002,,만기2년미만금전신탁,,A,만기2년미만금전신탁,2025-08-25 01:14:44
194,101Y002,,만기2년미만금전신탁,,M,만기2년미만금전신탁,2025-08-25 01:14:44
195,101Y002,,만기2년미만금전신탁,,Q,만기2년미만금전신탁,2025-08-25 01:14:44
196,101Y002,,발행어음,,A,발행어음,2025-08-25 01:14:44
197,101Y002,,발행어음,,M,발행어음,2025-08-25 01:14:44
198,101Y002,,발행어음,,Q,발행어음,2025-08-25 01:14:44
199,101Y002,,신탁형증권저축,,A,신탁형증권저축,2025-08-25 01:14:44
200,101Y002,,신탁형증권저축,,M,신탁형증권저축,2025-08-25 01:14:44
201,101Y002,,신탁형증권저축,,Q,신탁형증권저축,2025-08-25 01:14:44
202,101Y002,,만기2년미만외화예수금,,A,만기2년미만외화예수금,2025-08-25 01:14:44
203,101Y002,,만기2년미만외화예수금,,M,만기2년미만외화예수금,2025-08-25 01:14:44
204,101Y002,,만기2년미만외화예수금,,Q,만기2년미만외화예수금,2025-08-25 01:14:44
205,101Y002,,만기2년미만금융채,,A,만기2년미만금융채,2025-08-25 01:14:44
206,101Y002,,만기2년미만금융채,,M,만기2년미만금융채,2025-08-25 01:14:44
207,101Y002,,만기2년미만금융채,,Q,만기2년미만금융채,2025-08-25 01:14:44
208,101Y002,,환매조건부채권매도,,A,환매조건부채권매도,2025-08-25 01:14:44
209,101Y002,,환매조건부채권매도,,M,환매조건부채권매도,2025-08-25 01:14:44
210,101Y002,,환매조건부채권매도,,Q,환매조건부채권매도,2025-08-25 01:14:44
211,101Y006,,"M2(평잔, 계절조정계열) 1)",,M,"M2(평잔, 계절조정계열) 1)",2025-08-25 01:14:46
212,101Y006,,가계 및 비영리단체 2),,M,가계 및 비영리단체 2),2025-08-25 01:14:46
213,101Y006,,기업 3),,M,기업 3),2025-08-25 01:14:46
214,101Y006,,기타금융기관 4),,M,기타금융기관 4),2025-08-25 01:14:46
215,101Y006,,기타부문 5),,M,기타부문 5),2025-08-25 01:14:46
216,101Y015,,"M2(평잔, 원계열)",,A,"M2(평잔, 원계열)",2025-08-25 01:14:46
217,101Y015,,"M2(평잔, 원계열)",,M,"M2(평잔, 원계열)",2025-08-25 01:14:46
218,101Y015,,"M2(평잔, 원계열)",,Q,"M2(평잔, 원계열)",2025-08-25 01:14:46
219,101Y015,,가계 및 비영리단체 1),,A,가계 및 비영리단체 1),2025-08-25 01:14:46
220,101Y015,,가계 및 비영리단체 1),,M,가계 및 비영리단체 1),2025-08-25 01:14:46
221,101Y015,,가계 및 비영리단체 1),,Q,가계 및 비영리단체 1),2025-08-25 01:14:46
222,101Y015,,기업 2),,A,기업 2),2025-08-25 01:14:46
223,101Y015,,기업 2),,M,기업 2),2025-08-25 01:14:46
224,101Y015,,기업 2),,Q,기업 2),2025-08-25 01:14:46
225,101Y015,,기타금융기관 3),,A,기타금융기관 3),2025-08-25 01:14:46
226,101Y015,,기타금융기관 3),,M,기타금융기관 3),2025-08-25 01:14:46
227,101Y015,,기타금융기관 3),,Q,기타금융기관 3),2025-08-25 01:14:46
228,101Y015,,기타부문 4),,A,기타부문 4),2025-08-25 01:14:46
229,101Y015,,기타부문 4),,M,기타부문 4),2025-08-25 01:14:46
230,101Y015,,기타부문 4),,Q,기타부문 4),2025-08-25 01:14:46
231,101Y005,,"M2(말잔, 계절조정계열) 1)",,M,"M2(말잔, 계절조정계열) 1)",2025-08-25 01:14:47
232,101Y005,,가계 및 비영리단체 2),,M,가계 및 비영리단체 2),2025-08-25 01:14:47
233,101Y005,,기업 3),,M,기업 3),2025-08-25 01:14:47
234,101Y005,,기타금융기관 4),,M,기타금융기관 4),2025-08-25 01:14:47
235,101Y005,,기타부문 5),,M,기타부문 5),2025-08-25 01:14:47
236,101Y014,,"M2(말잔, 원계열)",,A,"M2(말잔, 원계열)",2025-08-25 01:14:48
237,101Y014,,"M2(말잔, 원계열)",,M,"M2(말잔, 원계열)",2025-08-25 01:14:48
238,101Y014,,"M2(말잔, 원계열)",,Q,"M2(말잔, 원계열)",2025-08-25 01:14:48
239,101Y014,,가계 및 비영리단체 1),,A,가계 및 비영리단체 1),2025-08-25 01:14:48
240,101Y014,,가계 및 비영리단체 1),,M,가계 및 비영리단체 1),2025-08-25 01:14:48
241,101Y014,,가계 및 비영리단체 1),,Q,가계 및 비영리단체 1),2025-08-25 01:14:48
242,101Y014,,기업 2),,A,기업 2),2025-08-25 01:14:48
243,101Y014,,기업 2),,M,기업 2),2025-08-25 01:14:48
244,101Y014,,기업 2),,Q,기업 2),2025-08-25 01:14:48
245,101Y014,,기타금융기관 3),,A,기타금융기관 3),2025-08-25 01:14:48
246,101Y014,,기타금융기관 3),,M,기타금융기관 3),2025-08-25 01:14:48
247,101Y014,,기타금융기관 3),,Q,기타금융기관 3),2025-08-25 01:14:48
248,101Y014,,기타부문 4),,A,기타부문 4),2025-08-25 01:14:48
249,101Y014,,기타부문 4),,M,기타부문 4),2025-08-25 01:14:48
250,101Y014,,기타부문 4),,Q,기타부문 4),2025-08-25 01:14:48
251,101Y008,,M2(평잔),,A,M2(평잔),2025-08-25 01:14:49
252,101Y008,,M2(평잔),,M,M2(평잔),2025-08-25 01:14:49
253,101Y008,,M2(평잔),,Q,M2(평잔),2025-08-25 01:14:49
254,101Y008,,중앙은행,,A,중앙은행,2025-08-25 01:14:49
255,101Y008,,중앙은행,,M,중앙은행,2025-08-25 01:14:49
256,101Y008,,중앙은행,,Q,중앙은행,2025-08-25 01:14:49
257,101Y008,,기타예금취급기관,,A,기타예금취급기관,2025-08-25 01:14:49
258,101Y008,,기타예금취급기관,,M,기타예금취급기관,2025-08-25 01:14:49
