year,region,fiscal_autonomy_ratio,fiscal_independence_ratio,source
2021,대구광역시,0.446,0.602,KOSIS
2021,강원도,0.245,0.675,KOSIS
2021,세종특별자치시,0.588,0.6579999999999999,KOSIS
2021,전라북도,0.231,0.608,KOSIS
2021,제주특별자치도,0.327,0.625,KOSIS
2021,전라남도,0.222,0.631,KOSIS
2021,경상남도,0.335,0.629,KOSIS
2021,인천광역시,0.503,0.627,KOSIS
2021,부산광역시,0.461,0.584,KOSIS
2021,서울특별시,0.7559999999999999,0.7759999999999999,KOSIS
2021,충청북도,0.28300000000000003,0.632,KOSIS
2021,전국,0.436,0.657,KOSIS
2021,경상북도,0.249,0.6409999999999999,KOSIS
2021,광주광역시,0.408,0.607,KOSIS
2021,충청남도,0.32299999999999995,0.644,KOSIS
2021,대전광역시,0.39899999999999997,0.601,KOSIS
2021,경기도,0.573,0.672,KOSIS
2022,울산광역시,0.48700000000000004,0.667,KOSIS
2022,대구광역시,0.479,0.648,KOSIS
2022,강원도,0.247,0.716,KOSIS
2022,세종특별자치시,0.569,0.634,KOSIS
2022,전라북도,0.23800000000000002,0.655,KOSIS
2022,제주특별자치도,0.327,0.6609999999999999,KOSIS
2022,전라남도,0.242,0.675,KOSIS
2022,경상남도,0.32799999999999996,0.6509999999999999,KOSIS
2022,인천광역시,0.528,0.665,KOSIS
2022,부산광역시,0.469,0.596,KOSIS
2022,서울특별시,0.763,0.7859999999999999,KOSIS
2022,충청북도,0.302,0.675,KOSIS
2022,전국,0.45299999999999996,0.688,KOSIS
2022,경상북도,0.256,0.691,KOSIS
2022,광주광역시,0.41100000000000003,0.624,KOSIS
2022,충청남도,0.331,0.6709999999999999,KOSIS
2022,대전광역시,0.424,0.64,KOSIS
2022,경기도,0.616,0.7070000000000001,KOSIS
2023,울산광역시,0.498,0.68,KOSIS
2023,대구광역시,0.474,0.647,KOSIS
2023,강원도,0.254,0.728,KOSIS
2023,세종특별자치시,0.5720000000000001,0.635,KOSIS
2023,전라북도,0.23800000000000002,0.6709999999999999,KOSIS
2023,제주특별자치도,0.33299999999999996,0.701,KOSIS
2023,전라남도,0.239,0.677,KOSIS
2023,경상남도,0.337,0.6709999999999999,KOSIS
2023,인천광역시,0.524,0.65,KOSIS
2023,부산광역시,0.46,0.585,KOSIS
2023,서울특별시,0.754,0.772,KOSIS
2023,충청북도,0.321,0.6859999999999999,KOSIS
2023,전국,0.45,0.69,KOSIS
2023,경상북도,0.253,0.7070000000000001,KOSIS
2023,광주광역시,0.423,0.6509999999999999,KOSIS
2023,충청남도,0.336,0.6829999999999999,KOSIS
2023,대전광역시,0.423,0.6459999999999999,KOSIS
2023,경기도,0.605,0.691,KOSIS
2024,울산광역시,0.46299999999999997,0.6729999999999999,KOSIS
2024,대구광역시,0.44299999999999995,0.628,KOSIS
2024,강원도,0.252,0.701,KOSIS
2024,세종특별자치시,0.575,0.6579999999999999,KOSIS
2024,전라북도,0.235,0.637,KOSIS
2024,제주특별자치도,0.34,0.67,KOSIS
2024,전라남도,0.244,0.662,KOSIS
2024,경상남도,0.336,0.657,KOSIS
2024,인천광역시,0.496,0.611,KOSIS
2024,부산광역시,0.451,0.569,KOSIS
